Date,Open,High,Low,Close,Volume,Raw_close,Change_percent,Avg_vol_20d,year,month,day,dayofweek,is_month_start,is_month_end,return_close,log_return_close,SMA_10,SMA_20,SMA_50,SMA_200,EMA_10,EMA_20,EMA_50,EMA_200,RSI_14,ATR_14,volatility_20,Volume_SMA_10,Volume_SMA_20,Volume_norm_20
2011-04-12,1.672,1.68066,1.62,1.6433399999999998,20361014.0,24.6501,-2.46,27913666.8,2011.0,4.0,12.0,1.0,0,0,-0.024527204302352,-0.02483300685509582,1.7386,1.6291989999999998,1.597286,1.5817493999999999,1.7025080581484546,1.666677792011968,1.6459379762031023,1.6329154850719503,59.91951219512191,0.09732571428571428,0.7204739409622041,45265908.9,27913666.8,0.7294281380474169
2011-04-13,1.6753399999999998,1.71266,1.654,1.662,18171659.0,24.93,1.14,27944992.8,2011.0,4.0,13.0,2.0,0,0,0.01135492350943812,0.011290940259864435,1.746734,1.6362320000000001,1.598646,1.5820961,1.6951429566669172,1.6662322880108282,1.6465678594892554,1.6332048832304382,60.43387186092984,0.10037285714285717,0.7198256071002832,45247259.4,27944992.8,0.650265295470035
2011-04-14,1.658,1.68534,1.61334,1.676,14750729.0,25.14,0.84,27990651.3,2011.0,4.0,14.0,3.0,0,0,0.008423586040914532,0.00838830562663484,1.7293339999999997,1.6439989999999998,1.6002459999999998,1.5825327999999999,1.691662419091114,1.6671625462955113,1.6477220610779122,1.633630705287847,59.7555898415497,0.10232428571428576,0.7195681129559253,29438823.1,27990651.3,0.5269877017831307
2011-04-15,1.71,1.74534,1.694,1.70534,14151764.0,25.5801,1.75,28182372.25,2011.0,4.0,15.0,4.0,0,0,0.01750596658711223,0.017354502285097828,1.722134,1.652733,1.6028460000000002,1.5837394999999999,1.6941492519836387,1.6707984942673673,1.6499815880944646,1.634344230608366,59.557502522580144,0.10256857142857145,0.7207723583058288,26556369.2,28182372.25,0.5021494952398835
2011-04-18,1.6753399999999998,1.708,1.624,1.66866,15508064.0,25.0299,-2.15,28649037.95,2011.0,4.0,18.0,0.0,0,0,-0.021508907314670367,-0.021743595217250222,1.7167999999999999,1.660399,1.6049392,1.5856827999999998,1.6895148425320679,1.6705948281466656,1.6507140748358582,1.6346856810500738,54.59810110851518,0.10480714285714286,0.7253715962103114,24193335.3,28649037.95,0.5413118593045112
2011-04-19,1.6840000000000002,1.6840000000000002,1.6433399999999998,1.67734,8230395.0,25.1601,0.52,28623447.95,2011.0,4.0,19.0,1.0,0,0,0.0052017786727074355,0.0051882961571904085,1.706534,1.670299,1.6077260000000002,1.5886995,1.6873012347989647,1.6712372254660308,1.651758228763864,1.6351101021341528,56.047337870296225,0.10066428571428576,0.7169789998046495,20243784.5,28623447.95,0.28754030661774277
2011-04-20,1.71334,1.73934,1.68666,1.71666,12562034.0,25.7499,2.35,28934454.9,2011.0,4.0,20.0,2.0,0,0,0.023441878211930778,0.023171337219919375,1.7015999999999998,1.6820989999999998,1.609406,1.5920161,1.6926391921082438,1.6755632039930755,1.6543033962633202,1.6359215439039623,38.289949766396205,0.0812828571428572,0.718811523488012,19567542.5,28934454.9,0.43415485252497366
2011-04-21,1.72334,1.79866,1.706,1.78266,20790794.0,26.7399,3.84,29627374.6,2011.0,4.0,21.0,3.0,0,0,0.03844675124951924,0.03772608834396396,1.6982659999999998,1.6967989999999997,1.6141124,1.5951094000000001,1.7090066117249265,1.6857628988508777,1.6593369885667195,1.6373816280442215,50.47273761285278,0.08023571428571433,0.7265537547698175,17430473.1,29627374.6,0.7017427052075008
2011-04-25,1.78,1.782,1.73134,1.75934,12012584.0,26.3901,-1.31,29802062.3,2011.0,4.0,25.0,0.0,0,0,-0.013081574725410383,-0.013167892128835401,1.6976,1.708933,1.6183459999999998,1.5981060999999999,1.7181581368658487,1.6927702418174608,1.6632586752895933,1.638595144183085,53.518260279651756,0.07547285714285716,0.7302256830889535,15712203.6,29802062.3,0.4030789506805373
2011-04-26,1.77734,1.81666,1.7539999999999998,1.79534,20585144.0,26.9301,2.05,30037806.05,2011.0,4.0,26.0,1.0,0,0,0.02046221878659038,0.020255680325283576,1.7086679999999999,1.7212,1.6232528,1.6013995,1.7321912028902398,1.702538790215798,1.6684383350821583,1.640154794489721,51.507883458498796,0.07371000000000004,0.7298701974380365,15712418.1,30037806.05,0.6853078405837832
