Feature_Group,Model,Num_Features,MAE,RMSE,R²
All,LinearRegression,30,7.961167248288551,10.614746255013317,0.969529882816396
All,Ridge,30,7.02239751849896,9.69368202875539,0.9745883754192605
All,Lasso,30,6.894726416937901,9.495743070701579,0.9756155591554012
All,SVR,30,85.91939776341425,109.84098271244652,-2.262749338300713
All,RandomForest,30,23.563660334209448,34.55355191918935,0.6771206389967179
All,GradientBoosting,30,28.075066815371407,41.26049491219883,0.539612252876543
All,XGBoost,30,24.04612575816535,37.2902201539107,0.623950699220286
All,LightGBM,30,24.744522875429734,35.706303063370115,0.6552179366207498
Price_Only,LinearRegression,5,6.805203611188732,9.453326879962633,0.975832916566738
Price_Only,Ridge,5,6.991558449731958,9.617770002426663,0.9749848181005007
Price_Only,Lasso,5,6.858768417223569,9.479177595386112,0.9757005630376941
Price_Only,SVR,5,25.680792579074307,58.00723165372495,0.09004656233925368
Price_Only,RandomForest,5,16.177145337380704,27.29170368486467,0.7985736952509187
Price_Only,GradientBoosting,5,16.20375764689928,27.004546179609665,0.8027901252751887
Price_Only,XGBoost,5,17.84218324938747,29.13491648102544,0.7704472786400037
Price_Only,LightGBM,5,17.73842467813352,29.634344672390345,0.7625098803178294
Technical,LinearRegression,13,9.213505492984988,12.13325555554258,0.9601884046914062
Technical,Ridge,13,11.095876156827313,14.582282915557172,0.9424949572668005
Technical,Lasso,13,12.087765716225782,16.015741621099778,0.9306336251628193
Technical,SVR,13,85.9514950827194,115.07007312915744,-2.580796735989756
Technical,RandomForest,13,35.890520152987165,50.19061736958284,0.3187602729127177
Technical,GradientBoosting,13,40.81901105777861,56.11556932334336,0.1484274815408747
Technical,XGBoost,13,33.26322704794847,45.77527816053933,0.43334741427623347
Technical,LightGBM,13,28.88034431481163,43.34889126351927,0.4918278282638784
Momentum,LinearRegression,4,207.46958734635567,216.03030462252065,-11.620723346451888
Momentum,Ridge,4,207.47240619546417,216.03286554368893,-11.621022571777756
Momentum,Lasso,4,207.47627995180366,216.04313327967063,-11.62222231892603
Momentum,SVR,4,228.4621385216187,236.61577782639355,-14.14057231556481
Momentum,RandomForest,4,205.81820201934408,215.8691782082982,-11.601904009550237
Momentum,GradientBoosting,4,206.23762049629534,216.6006563739146,-11.687452446317911
Momentum,XGBoost,4,204.3989159978161,215.68445243910614,-11.58034557860458
Momentum,LightGBM,4,206.0904388975759,216.61596481745005,-11.689245903606105
MovingAvg,LinearRegression,10,8.571553597347934,11.473418728177904,0.9644007721559684
MovingAvg,Ridge,10,10.927960445258432,14.361861695273731,0.9442202747075684
MovingAvg,Lasso,10,12.789296334284485,16.8393565722443,0.9233158024778136
MovingAvg,SVR,10,72.7183053127362,100.82711610981227,-1.7492205520076856
MovingAvg,RandomForest,10,38.013457496295786,51.90827912906414,0.27133459079839295
MovingAvg,GradientBoosting,10,41.6600060315718,56.30996452191151,0.1425172379163273
MovingAvg,XGBoost,10,37.84965555543545,52.1863675774332,0.2635063128852053
MovingAvg,LightGBM,10,31.602252673426424,45.958058428966794,0.4288131023620192
Volume,LinearRegression,4,208.09948578803971,217.7933773766527,-11.82756518092939
Volume,Ridge,4,208.09949067447047,217.79298870896136,-11.82751939757495
Volume,Lasso,4,208.1046079951027,217.79101724566414,-11.8272871690778
Volume,SVR,4,225.99526482256795,234.14050446373065,-13.825453610256288
Volume,RandomForest,4,200.3244299207424,210.4727869023082,-10.979723492709438
Volume,GradientBoosting,4,200.93837237818565,212.6124786956342,-11.224536231537376
Volume,XGBoost,4,197.6019950481241,210.450625704315,-10.977200876352741
Volume,LightGBM,4,198.242057609476,210.02024793750695,-10.92826350522383
Time,LinearRegression,6,125.58324714256158,142.43779127003836,-4.486625934446864
Time,Ridge,6,125.6149457204472,142.46537190861207,-4.488750922432857
Time,Lasso,6,125.8215123910325,142.6541694953178,-4.503308138001983
Time,SVR,6,123.6942204906592,141.31014357996,-4.400097063935803
Time,RandomForest,6,52.039728474918974,64.92166103266997,-0.13981439210999502
Time,GradientBoosting,6,51.879788720072504,64.89430264593231,-0.13885394494961845
Time,XGBoost,6,52.08159286534122,65.08916739074019,-0.1457037197044937
Time,LightGBM,6,52.27111273125577,65.08404551122743,-0.14552341549223624
Tech_Volume,LinearRegression,15,9.191240596763416,12.113240373332255,0.9603196438455726
Tech_Volume,Ridge,15,11.100352235806797,14.591805145704946,0.9424198311650276
Tech_Volume,Lasso,15,12.091043913665187,16.019939449224044,0.930597257657999
Tech_Volume,SVR,15,88.82870673968706,119.59001205408963,-2.8676281284623917
Tech_Volume,RandomForest,15,35.73318549522517,50.16237652808553,0.3195266859039353
Tech_Volume,GradientBoosting,15,40.8517206487617,56.22053746911016,0.14523864847339896
Tech_Volume,XGBoost,15,31.777951011562198,44.3272834071986,0.46862988720152143
Tech_Volume,LightGBM,15,29.0247312824361,43.659382296378766,0.4845220833533651
